party	PA	UNP	Ind 2	(Didn't Vote or Rejected)
UNP	1372981	1163187	33031	974742
SLFP	1696396	593461	0	150021
SLMP	221660	0	14041	358818
(Didn't Vote or Rejected)	1333327	764598	10433	1980556
