party	SJB	SLPP	UNP	JJB	ITAK	AITC	OPPP	TMVP	SLFP	EPDP	(Not Voted)
NDF	2019540.0	936363.0	120634.0	0.0	307632.0	22101.0	2870.0	126773.0	36195.0	21458.0	1970673.0
SLPP	772604.0	5988832.0	121089.0	0.0	0.0	0.0	41730.0	0.0	0.0	0.0	0
NMPP	0.0	0.0	0.0	401971.0	0.0	0.0	16582.0	0.0	0.0	0.0	0
(Not Voted)	12748.0	98818.0	1998.0	52137.0	0.0	0.0	2839.0	0.0	0.0	0.0	0
