party	UNP	UPFA	JVP	DP	BJP	ITAK	SLMC	EPDP	ACMC	AITC	CWC	(Not Voted)
UNP	2338437.0	0.0	0.0	65.0	3411.0	0.0	0.0	0.0	14501.0	0.0	0.0	0
UPFA	1213654.0	3434250.0	182325.0	6362.0	3358.0	0.0	0.0	0.0	0.0	0.0	3630.0	0
DNA	26643.0	155934.0	238284.0	13561.0	6756.0	0.0	0.0	13.0	0.0	13.0	0.0	0
TULF	0.0	0.0	0.0	0.0	0.0	5293.0	3822.0	60.0	0.0	0.0	0.0	0
SMBP	5077.0	6604.0	475.0	1.0	0.0	6.0	0.0	1.0	0.0	1.0	0.0	0
ITAK	0.0	0.0	0.0	0.0	0.0	179084.0	38623.0	2113.0	8945.0	2241.0	0.0	0
UPF	21173.0	2852.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0
TMVP	0.0	0.0	0.0	400.0	0.0	4995.0	8058.0	0.0	0.0	0.0	0.0	6826.0
(Not Voted)	1370569.0	1284426.0	130711.0	6565.0	4342.0	218984.0	60639.0	2574.0	15120.0	2413.0	1866.0	0
