party	UNP	UPFA	(Didn't Vote or Rejected)
UNP	3602748.0	0.0	0.0
PA	0.0	4312157.0	0.0
JVP	0.0	343927.0	0.0
(Didn't Vote or Rejected)	1451395.0	62974.0	3821515.0
