party_x	NDF	SLPP	NMPP		
UNP	0.97713935	0	0		0.4217
PA	0	0.762835444	0.02703498		0.5112
JVP	0	3.549373579	0.435841483		0.0408
					
	0.412059664	0.534775921	0.031602614		
