party	UNP	PA	JVP	TULF	SU	NLF	USP	EPDP	SLMC	DPLF	IND9	(Not Voted)
UNP	2800628	0	0	0	0	6716	0	0	0	0	0	644420
PA	839139	2144650	74721	0	5766	32503	5656	0	0	0	843	796052
NUA	0	31799	0	0	294	0	0	0	22754	0	0	130746
JVP	0	242708	274588	0	1429	0	0	0	0	0	0	0
CWC	21216	1400	0	0	208	0	0	74	0	87	0	0
SU	80575	14849	0	0	31255	0	911	269	0	0	0	0
ACTC	0	0	0	27289	0	0	0	0	0	0	0	0
NLF	0	30532	1344	0	0	399	0	0	0	0	0	0
PP	19553	0	0	0	12	32	234	0	0	0	0	0
IG2	0	0	0	13170	0	0	0	1393	14360	0	2521	0
IG1	0	7633	0	0	0	42	0	73	2051	0	0	0
TULF	0	0	0	84850	0	335	0	0	20722	0	0	0
EPDP	0	0	0	16708	0	0	0	33994	0	0	0	0
TELO	0	0	0	20118	0	48	0	124	0	5540	0	0
DPLF	0	7716	0	7251	0	80	0	0	0	5607	0	0
L&DA	352	7741	1086	0	99	297	206	0	0	0	0	0
(Not Voted)	403184	768652	470016	188078	12150	5698	5012	29329	84325	7825	13508	0
