party	PA	UNP	Ind 2	(Not Voted)
UNP	1973556.0	1437557.0	39702.0	0
SLFP	1722736.0	720568.0	0.0	103044.0
JVP	208457.0	32680.0	0.0	32291.0
ACTC	165209.0	0.0	8725.0	0
LSSP	29950.0	0.0	0.0	28581.0
(Not Voted)	756466.0	532938.0	16029.0	0
