party	UNP	PA	JVP	(Didn't Vote or Rejected)
PA	799056.0	3604733.0	36779.0	369504.0
UNP	1409701.0	1181821.0	123760.0	41588.0
Ind 2	58888.0	0.0	0.0	0.0
(Didn't Vote or Rejected)	1509305.0	0	196327.0	3010574.0
