party	UNP	UPFA	DNA	TULF	SMBP	ITAK	UPF	TMVP	(Not Voted)
UNP	2014600.0	321920.0	0.0	0.0	0.0	0.0	5959.0	0.0	1144310.0
UPFA	10991.0	3946369.0	201932.0	0.0	2784.0	8505.0	0.0	0.0	52544.0
JHU	134006.0	184850.0	228529.0	393.0	0.0	0.0	0.0	0.0	4944.0
JSP	8305.0	5494.0	1130.0	18.0	0.0	0.0	0.0	9.0	0
USP	0.0	1142.0	0.0	0.0	3429.0	0.0	0.0	0.0	9747.0
EPDP	16659.0	7840.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ITAK	0.0	82349.0	0.0	11523.0	0.0	246964.0	0.0	36839.0	254187.0
SLMC	101923.0	46795.0	0.0	0.0	0.0	16028.0	0.0	230.0	19994.0
UPF	0.0	23496.0	0.0	0.0	0.0	0.0	12751.0	0.0	13480.0
CDUA	0.0	10684.0	0.0	0.0	0.0	0.0	52.0	0.0	0
(Not Voted)	95131.0	76664.0	12624.0	203.0	0.0	0.0	69.0	101.0	0
