party	UNP	UPFA	JHU	JSP	USP	EPDP	ITAK	SLMC	UPF	CDUA	(Not Voted)
UNP	3157974	0	0	9439	10895	0	0	22355	0	0	885069
PA	106669	2938111	0	4256	0	0	0	0	0	0	281718
JVP	0	807794	7556	0	0	0	0	0	0	0	0
TULF	0	0	0	0	0	2845	269733	74971	0	0	0
SU	0	0	50366	259	0	37	0	0	0	0	0
NLF	16901	28853	0	0	124	10	0	0	0	0	0
USP	0	0	0	0	128	4	0	0	7903	1413	0
EPDP	0	0	0	0	0	15000	50635	0	0	0	6818
SLMC	0	9592	0	0	0	0	0	78708	0	0	14684
DPLF	0	0	0	0	132	146	16332	0	0	0	0
IND9	0	14839	0	0	9	0	0	0	0	0	0
(Not Voted)	138937	353536	536621	2755	5200	2849	212537	58389	256058	45774	0
