party	SJB	SLPP	UNP	JJB	ITAK	AITC	OPPP	TMVP	SLFP	EPDP	(Not Voted)
UNP	2792298.0	926389.0	227367.0	104.0	3577.0	0.0	24048.0	0.0	25795.0	0.0	1099338.0
UPFA	0.0	4711032.0	9444.0	7567.0	0.0	0.0	3496.0	1125.0	0.0	0.0	0
JVP	0.0	159746.0	0.0	355887.0	0.0	116.0	28066.0	0.0	0.0	339.0	0
ITAK	64051.0	0.0	0.0	722.0	272510.0	23137.0	0.0	123545.0	10900.0	21098.0	0
(Not Voted)	12113.0	1050162.0	2044.0	69750.0	51535.0	4398.0	6117.0	23607.0	2061.0	4055.0	0
