party	NDF	SLPP	NMPP	(Not Voted)
UNP	3450815.0	0.0	0.0	0
SLFP	0.0	2436384.0	109964.0	0
JVP	0.0	238401.0	35027.0	0
ACTC	173934.0	0.0	0.0	0
LSSP	0.0	0.0	0.0	58531.0
(Not Voted)	1887548.0	4213455.0	270130.0	0
